hour,t_outdoor
7892,2.391791667
7893,2.086625
7894,2.086625
7895,2.086625
7896,1.992125
7897,1.992125
7898,1.992125
7899,1.773166667
7900,1.773166667
7901,1.773166667
7902,1.53825
7903,1.53825
7904,1.53825
7905,2.441666667
7906,2.441666667
7907,2.441666667
7908,3.359166667
7909,3.359166667
7910,3.359166667
7911,2.601625
7912,2.601625
7913,2.601625
7914,1.624083333
7915,1.624083333
7916,1.624083333
7917,0.590541667
7918,0.590541667
7919,0.590541667
7920,-0.316
7921,-0.316
7922,-0.316
7923,-1.016875
7924,-1.016875
7925,-1.016875
7926,-1.67425
7927,-1.67425
7928,-1.67425
7929,-0.18175
7930,-0.18175
7931,-0.18175
7932,1.5855
7933,1.5855
7934,1.5855
7935,0.94475
7936,0.94475
7937,0.94475
7938,0.080916667
7939,0.080916667
7940,0.080916667
7941,-0.08
7942,-0.08
7943,-0.08
7944,0.07075
7945,0.07075
7946,0.07075
7947,0.474041667
7948,0.474041667
7949,0.474041667
7950,0.840416667
7951,0.840416667
7952,0.840416667
7953,1.198625
7954,1.198625
7955,1.198625
7956,1.444875
7957,1.444875
7958,1.444875
7959,0.528
7960,0.528
7961,0.528
7962,-0.690791667
7963,-0.690791667
7964,-0.690791667
7965,-1.876375
7966,-1.876375
7967,-1.876375
7968,-2.710125
7969,-2.710125
7970,-2.710125
7971,-3.375833333
7972,-3.375833333
7973,-3.375833333
7974,-3.999833333
7975,-3.999833333
7976,-3.999833333
7977,-3.212458333
7978,-3.212458333
7979,-3.212458333
7980,-2.252375
7981,-2.252375
7982,-2.252375
7983,-2.853
7984,-2.853
7985,-2.853
7986,-3.484291667
7987,-3.484291667
7988,-3.484291667
7989,-3.831375
7990,-3.831375
7991,-3.831375
7992,-4.159875
7993,-4.159875
7994,-4.159875
7995,-4.419416667
7996,-4.419416667
7997,-4.419416667
7998,-4.7155
7999,-4.7155
8000,-4.7155
8001,-2.91525
8002,-2.91525
8003,-2.91525
8004,-0.638333333
8005,-0.638333333
8006,-0.638333333
8007,-1.404958333
8008,-1.404958333
8009,-1.404958333
8010,-2.460041667
8011,-2.460041667
8012,-2.460041667
8013,-3.145041667
8014,-3.145041667
8015,-3.145041667
8016,-3.152833333
8017,-3.152833333
8018,-3.152833333
8019,-2.831583333
8020,-2.831583333
8021,-2.831583333
8022,-2.62525
8023,-2.62525
8024,-2.62525
8025,-1.227916667
8026,-1.227916667
8027,-1.227916667
8028,0.603583333
8029,0.603583333
8030,0.603583333
8031,0.031166667
8032,0.031166667
8033,0.031166667
8034,-0.640166667
8035,-0.640166667
8036,-0.640166667
8037,-0.792166667
8038,-0.792166667
8039,-0.792166667
8040,-0.680333333
8041,-0.680333333
8042,-0.680333333
8043,-0.616166667
8044,-0.616166667
8045,-0.616166667
8046,-0.61575
8047,-0.61575
8048,-0.61575
8049,-0.023041667
8050,-0.023041667
8051,-0.023041667
8052,0.718416667
8053,0.718416667
8054,0.718416667
8055,-0.0855
8056,-0.0855
8057,-0.0855
8058,-0.948708333
8059,-0.948708333
8060,-0.948708333
8061,-1.803291667
8062,-1.803291667
8063,-1.803291667
8064,-2.728958333
8065,-2.728958333
8066,-2.728958333
8067,-3.67475
8068,-3.67475
8069,-3.67475
8070,-4.398916667
8071,-4.398916667
8072,-4.398916667
8073,-3.41875
8074,-3.41875
8075,-3.41875
8076,-2.1385
8077,-2.1385
8078,-2.1385
8079,-3.014791667
8080,-3.014791667
8081,-3.014791667
8082,-3.846875
8083,-3.846875
8084,-3.846875
8085,-4.39
8086,-4.39
8087,-4.39
8088,-4.750166667
8089,-4.750166667
8090,-4.750166667
8091,-5.06
8092,-5.06
8093,-5.06
8094,-5.182041667
8095,-5.182041667
8096,-5.182041667
8097,-3.585416667
8098,-3.585416667
8099,-3.585416667
8100,-1.573958333
8101,-1.573958333
8102,-1.573958333
8103,-2.579208333
8104,-2.579208333
8105,-2.579208333
8106,-3.474291667
8107,-3.474291667
8108,-3.474291667
8109,-3.838458333
8110,-3.838458333
8111,-3.838458333
8112,-3.78675
8113,-3.78675
8114,-3.78675
8115,-3.216416667
8116,-3.216416667
8117,-3.216416667
8118,-2.471208333
8119,-2.471208333
8120,-2.471208333
8121,-0.817041667
8122,-0.817041667
8123,-0.817041667
8124,0.708458333
8125,0.708458333
8126,0.708458333
8127,0.845458333
8128,0.845458333
8129,0.845458333
8130,0.808041667
8131,0.808041667
8132,0.808041667
8133,0.467166667
8134,0.467166667
8135,0.467166667
8136,-0.090166667
8137,-0.090166667
8138,-0.090166667
8139,-0.779791667
8140,-0.779791667
8141,-0.779791667
8142,-1.658083333
8143,-1.658083333
8144,-1.658083333
8145,-1.239583333
8146,-1.239583333
8147,-1.239583333
8148,-0.722916667
8149,-0.722916667
8150,-0.722916667
8151,-1.865166667
8152,-1.865166667
8153,-1.865166667
8154,-2.897583333
8155,-2.897583333
8156,-2.897583333
8157,-3.748
